"key","isi","judul","saham","tanggal_berita"
"","Mencatatkan harga tertinggi Rp 177 dan harga terendah Rp 166, saham BUMI ditutup turun Rp 1 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 170 per saham. Di lain sisi, harga offer terendah di Rp 171 per saham.  Bila dihitung sejak 7 hari yang lalu (22 Agustus 2022), harga saham BUMI hari ini sudah naik 24,09% dibanding harga saat itu (Rp 137).  Adapun sejak setahun lalu (27 Agustus 2021) harga saham BUMI sudah naik 226,92% dari harga saat itu (Rp 52).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham BUMI mencapai Rp 913,60 miliar, sedangkan volume saham yang ditransaksikan mencapai 53.438.235 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 18, maka price to earning ratio (PER) saham ini 9,50 kali. Adapun price to book value-nya (PBV) -3,80 kali.      Dari penutupan Jumat (26/8), harga saham ANTM turun 2,81% dari Rp 1.955. Saham ANTM dibuka di bawah harga penutupan sehari sebelumnya, tepatnya pada harga Rp 1.920 per saham.  Mencatatkan harga tertinggi Rp 1.925 dan harga terendah Rp 1.865, saham ANTM ditutup turun Rp 55 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 1.900 per saham. Di lain sisi, harga offer terendah di Rp 1.905 per saham.    Bila dihitung sejak 7 hari yang lalu (22 Agustus 2022), harga saham ANTM hari ini turun 4,28% dibanding harga saat itu (Rp 1.985).  Sejak setahun lalu (27 Agustus 2021) harga saham ANTM turun 15,93% dari harga saat itu (Rp 2.260).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham ANTM mencapai Rp 234,20 miliar, sedangkan volume saham yang ditransaksikan mencapai 1.233.937 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 244, maka price to earning ratio (PER) saham ini 8,01 kali. Adapun price to book value-nya (PBV) 2,11 kali.  Cek Berita dan Artikel yang lain di ","Kompak, Harga Saham BUMI & ANTM Melemah di Perdagangan Bursa Senin (29/8)","antm"," Senin, 29 Agustus 2022 / 15:39 WIB "
"","dari  pada label hitam, sehingga IHSG akan terkoreksi kembali untuk menuju 6.870-6.920 terlebih bila break dari 6.926.  ""Namun,  di label merah, dimana IHSG sudah berada di akhir   dari  dari  , sehingga IHSG berpeluang menguat menguji 7.130-7.200,"" ujarnya dalam riset, Rabu (5/10).    Beberapa sahm yang bisa dicermati untuk perdagangan hari ini meliputi:  1.    ANTM ditutup menguat 1,9% ke level 1.925 pada perdagangan kemarin (4/10). Ia perkirakan, posisi ANTM saat ini sedang berada di akhir  dari  , sehingga pergerakan ANTM akan terkoreksi terlebih dahulu dan dapat dimanfaatkan untuk BoW.  : Rp 1.815- Rp 1.885  Target Harga: Rp 2.100, Rp 2.270  : di bawah Rp 1.735  2.    ASII ditutup menguat 1,5% ke level 6.725 pada perdagangan kemarin (4/10) dan masih bergerak di atas MA20. Herditya perkirakan, pergerakan ASII masih berada pada bagian dari  dari   sehingga pergerakan ASII akan terkoreksi terlebih dahulu dan dapat dimanfaatkan untuk BoW.  : Rp 6.375- Rp 6.575  Target Harga: Rp 6.950, Rp 7.125  : di bawah Rp 6.275  3.    MDKA ditutup menguat 1,8% ke level 3.960 pada perdagangan kemarin (4/10). Selama MDKA tidak terkoreksi ke bawah 3.800, maka posisi MDKA sedang berada di awal   dari  sehingga MDKA berpeluang melanjutkan penguatannya.  : Rp 3.910- Rp 3.950  Target Harga: Rp 4.240, Rp 4.580  : di bawah Rp 3.800    4.   TINS ditutup menguat 1,1% ke level 1.385 pada perdagangan kemarin (4/10) dan mampu menembus   terdekatnya. Selama TINS masih mampu berada di atas 1.290 sebagai supportnya, maka posisi TINS saat ini sedang berada di awal   dari  .  : Rp 1.345- Rp 1.375  Target Harga: Rp 1.455, Rp 1.585  : di bawah Rp 1.290    Cek Berita dan Artikel yang lain di ","Berikut Proyeksi IHSG dan Pilihan Saham dari MNC Sekuritas untuk Perdagangan Senin (5","antm"," Rabu, 05 Oktober 2022 / 07:17 WIB "
"","Kenaikan laba bersih ANTM sejalan dengan kenaikan pedapatannya. Emiten pelat merah ini membukukan pendapatan Rp 18,77 triliun, naik 8,66% dari pendapatan semester pertama 2021 sebesar Rp 17,27 triliun.    Analis Bahana Sekuritas Timothy Wijaya menilai, meski mencatatkan pertumbuhan, kinerja ANTM sepanjang semester pertama 2022 berada di bawah ekspektasi. Hal ini karena kinerja ANTM di kuartal kedua tergerus provisi.  Melansir laporan keuangan, terdapat provisi kasus hukum yang tercatat di beban umum dan administrasi (berdasarkan catatan 37q di laporan keuangan) senilai Rp 952,44 miliar.  Namun ke depan, kinerja ANTM akan membaik dibandingkan semester pertama 2022. Katalis datang dari sisi produksi. Tahun depan, smelter milik ANTM yang  berlokasi di Halmahera Timur (Haltim) sudah bisa beroperasi  “Tetapi itu juga hanya akan sebagian yang beroperasi, belum full 13.500 ton per annum,” terang Timothy kepada Kontan.co.id, Senin (5/9)  Saat ini target harga saham ANTM sedang dalam tahap under review oleh Bahana Sekuritas. Namun, rekomendasi terakhir adalah buy dengan target harga Rp 3.400 per saham. Timothy berpeluang untuk menurunkan target harga saham ANTM seiring kinerjanya yang di bawah ekspektasi.           Cek Berita dan Artikel yang lain di ","Kinerja di Bawah Ekspektasi, Begini Prospek Saham Antam (ANTM)","antm"," Senin, 05 September 2022 / 14:46 WIB "
"","Pertama, melakukan pengembangan dan pengelolaan aset yang lebih optimal sehingga dapat mendukung pemenuhan permintaan terhadap komoditas dan produk olahan nikel.  Kedua, akselerasi pengembangan usaha dengan memiliki manajemen yang fokus, kompetitif, dan fleksibel dalam pengambilan keputusan dan peluang bisnis. Ketiga, membuka peluang kerja sama strategis guna melakukan pengembangan usaha dan mengantisipasi peluang bisnis ke depan.    ANTM sebagai pemilik sumber daya nikel terbesar kedua di Indonesia memiliki inisiatif untuk memanfaatkan momentum peningkatan tren penggunaan kendaraan listrik atau electric vehicle (EV), dengan berpartisipasi dalam pengembangan ekosistem industri baterai EV. Dus, pemisahan ini merupakan salah satu langkah awal ANTM untuk mendukung penggunaan EV Battery.  Manajemen Aneka Tambang menjabarkan, terdapat empat faktor internal yang mendukung rencana ini.  Pertama, optimalisasi pengelolaan aset wilayah izin usaha pertambangan (WIUP). Anak perusahaan diharapkan dapat melakukan pengembangan dan pengelolaan aset WIUP yang lebih intensif dan efektif ke depannya, sehingga pemanfaatan aset nikel dapat dilakukan secara optimal untuk menghasilkan produk-produk akhir dari komoditas nikel yang berkualitas tinggi dan mendukung inisiatif hilirisasi nikel.  Kedua, akselerasi dan diversifikasi pengembangan usaha. Anak perusahaan yang menerima pemisahan juga diharapkan untuk menjadi lebih fokus, kompetitif, dan fleksibel dalam pengambilan keputusan dan peluang bisnis. Selain itu, rencana pemisahan merupakan salah satu upaya diversifikasi pengembangan usaha, khususnya sebagian segmen usaha nikel yang harapannya dapat mendukung inisiatif hilirisasi nikel.  Ketiga, potensi kerja sama strategis. Anak perusahaan yang menerima spin-off diharapkan dapat membuka kesempatan untuk melakukan kerja sama strategis untuk menciptakan nilai tambah bagi produk anak perusahaan dan memperkuat rantai pasok produksi komoditas nikel.  Keempat, penciptaan nilai tambah untuk pemegang saham. Terciptanya optimalisasi pengelolaan aset, akselerasi dan pengembangan usaha, dan potensi kerjasama strategis diharapkan mampu meningkatan kinerja keuangan dan menciptakan nilai tambah bagi pemegang saham sebagai tujuan akhir dari pemisahan.  “Dengan demikian, rencana pemisahan sebagai salah satu bentuk dari insiatif hilirisasi komoditas nikel merupakan langkah strategis yang dapat berkontribusi dalam pengembangan ekosistem industri baterai untuk kendaraan listrik nasional,” tulis manajemen ANTM, Jumat (1/7).  Emiten pelat merah ini akan  menggelar rapat umum pemegang saham luar biasa (RUPSLB) untuk menyetujui usulan rencana pemisahan pada tanggal 23 Agustus 2022.    Cek Berita dan Artikel yang lain di ","Ini Alasan Antam (ANTM) Lakukan Spin-Off Sebagian Usaha Tambang Nikel ke Anak Usaha","antm"," Jumat, 01 Juli 2022 / 21:06 WIB "
"","Mencatatkan harga tertinggi Rp 4.410 dan harga terendah Rp 4.310, saham BBRI ditutup turun Rp 60 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 4.320 per saham. Di lain sisi, harga offer terendah di Rp 4.330 per saham.  Kalau dihitung sejak 7 hari yang lalu (15 Juni 2022), harga saham BBRI hari ini turun 2,92% dibanding harga saat itu (Rp 4.450).  Adapun sejak setahun lalu (22 Juni 2021) harga saham BBRI sudah naik 6,93% dari harga saat itu (Rp 4.040).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham BBRI mencapai Rp 462,20 miliar, sedangkan volume saham yang ditransaksikan mencapai 1.062.085 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 321, maka price to earning ratio (PER) saham ini 13,64 kali. Adapun price to book value-nya (PBV) 2,44 kali.      Dari penutupan Selasa (21/6), harga saham ANTM turun 6,05% dari Rp 2.150. Saham ANTM dibuka di bawah harga penutupan sehari sebelumnya, tepatnya pada harga Rp 2.140 per saham.  Mencatatkan harga tertinggi Rp 2.140 dan harga terendah Rp 2.020, harga saham ANTM ditutup turun Rp 130 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 2.010 per saham. Di lain sisi, harga offer terendah di Rp 2.020 per saham.    Bila dihitung sejak 7 hari yang lalu (15 Juni 2022), harga saham ANTM hari ini turun 6,91% dibanding harga saat itu (Rp 2.170).  Sejak setahun lalu (22 Juni 2021) harga saham ANTM turun 10,62% dari harga saat itu (Rp 2.260).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham ANTM mencapai Rp 353,50 miliar, sedangkan volume saham yang ditransaksikan mencapai 1.715.082 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 244, maka price to earning ratio (PER) saham ini 8,81 kali. Adapun price to book value-nya (PBV) 2,32 kali.  Cek Berita dan Artikel yang lain di ","Harga Saham BBRI & ANTM Kompak Anjlok di Perdagangan Bursa Rabu (22/6)","antm"," Rabu, 22 Juni 2022 / 15:44 WIB "
"","Mencatatkan harga tertinggi Rp 390 dan harga terendah Rp 350, saham GOTO ditutup naik Rp 14 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 376 per saham. Di lain sisi, harga offer terendah di Rp 378 per saham.  Kalau dihitung sejak 7 hari yang lalu (31 Mei 2022), harga saham GOTO hari ini sudah naik 24,34% dibanding harga saat itu (Rp 304).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham GOTO mencapai Rp 2.407,60 miliar, sedangkan volume saham yang ditransaksikan mencapai 64.611.955 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp -22, maka price to earning ratio (PER) saham ini -16,55 kali. Adapun price to book value-nya (PBV) 3,17 kali.      Dari penutupan Selasa (7/6), harga saham ANTM sama dengan harga sebelumnya 0,00% dari Rp 2.420. Saham ANTM dibuka di atas harga penutupan sehari sebelumnya, tepatnya pada harga Rp 2.430 per saham.  Mencatatkan harga tertinggi Rp 2.440 dan harga terendah Rp 2.400, saham ANTM ditutup tak berubah Rp 0 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 2.410 per saham. Di lain sisi, harga offer terendah di Rp 2.420 per saham.    Kalau dihitung sejak 7 hari yang lalu (31 Mei 2022), harga saham ANTM hari ini turun 3,59% dibanding harga saat itu (Rp 2.510).  Adapun sejak setahun lalu (8 Juni 2021) harga saham ANTM sudah naik 2,98% dari harga saat itu (Rp 2.350).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham ANTM mencapai Rp 139,40 miliar, sedangkan volume saham yang ditransaksikan mencapai 576.692 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 244, maka price to earning ratio (PER) saham ini 9,92 kali. Adapun price to book value-nya (PBV) 2,61 kali.  Cek Berita dan Artikel yang lain di ","Harga Saham GOTO Menghijau, ANTM Stagnan di Perdagangan Bursa Rabu (8/6)","antm"," Rabu, 08 Juni 2022 / 15:30 WIB "
""," ini dilakukan guna meningkatkan performa segmen nikel perseroan.  Desy Israhyanti, Equity Analyst Pilarmas Investindo Sekuritas mengatakan,   ini memang akan memisahkan segmen usaha nikel, namun secara konsolidasi berpotensi lebih masif pertumbuhannya dengan ruang fleksibilitas dan optimalisasi operasi bisnis nikel yang diberikan dengan aksi ini.    ""Bisnis nikel ini bisa dikatakan bisnis masa depan sebagaimana ekosistem baterai kendaraan listrik yang saat ini terus dikembangkan. Apalagi ANTM ini diuntungkan sebagai BUMN di bidang pertambangan nikel untuk memperoleh porsi yang besar dari sisi hulu tambang nikel hingga hilirisasinya. Proyek smelternya pun sudah masuk dalam proyek strategis nasional,"" jelas Desy dalam keterangannya, Rabu (24/8).  Oleh karena itu, Desy memperkirakan perkirakan proyek smelter nikel tersebut akan mulai beroperasi di awal tahun depan dengan proyeksi kenaikan penjualan nikel hingga 40% CAGR hingga 2024 mendatang.  Di sisi lain, Desy menyebutkan ANTM tetap harus waspada dengan kemungkinan akan butuh waktu untuk mencapai   dari target perusahaan sebagaimana proyek smelter tersebut yang baru akan dijalankan.  ""Dengan aksi tersebut, ekspektasi investor terhadap kinerja tentu akan meningkat. Kami juga masih bullish terhadap pergerakan saham ANTM. Sehingga, rekomendasi   dengan TP 2,430,"" tegas Desy.  Desy juga memprediksi secara pendek harga saham Antam masih akan meningkat dengan tetap memperhatikan kondisi ekonomi dan proyek smelter nikel serta alumina yang saat ini masih ditunggu penyelesaiannya.    Dalam mata acara RUPSLB pertama, para pemegang saham menyetujui   sebagian segmen usaha pertambangan nikel Perseroan, termasuk pengalihan sebagian wilayah izin usaha pertambangan Perseroan yang berlokasi di Halmahera Timur, Maluku Utara kepada PT Nusa Karya Arindo (NKA) dan PT Sumberdaya Arindo (SDA).  Pemegang saham juga menyetujui penambahan penyertaan modal ke dalam PT NKA dan PT SDA dalam rangka pelaksanaan   serta menyetujui rancangan   yang telah diumumkan melalui surat kabar, beserta perubahan-perubahannya.  Selain itu, pemegang saham juga setuju untuk memberikan kewenangan kepada Direksi Perseroan untuk melakukan tindakan yang diperlukan dalam rangka   sesuai dengan ketentuan peraturan perundang-undangan yang berlaku.         Cek Berita dan Artikel yang lain di ","Antam (ANTM) Spin Off Bisnis Nikel, Bagaimana Rekomendasi Sahamnya?","antm"," Rabu, 24 Agustus 2022 / 19:46 WIB "
"","Mencatatkan harga tertinggi Rp 150 dan harga terendah Rp 142, harga saham BUMI ditutup naik Rp 4 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 148 per saham. Di lain sisi, harga offer terendah di Rp 149 per saham.  Kalau dihitung sejak 7 hari yang lalu (16 Agustus 2022), harga saham BUMI hari ini sudah naik 10.37 % dibanding harga saat itu (Rp 135).  Adapun sejak setahun lalu (24 Agustus 2021) harga saham BUMI sudah naik 181.13% dari harga saat itu (Rp 53).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham BUMI mencapai Rp 586,30 miliar, sedangkan volume saham yang ditransaksikan mencapai 40.033.912 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 18, maka price to earning ratio (PER) saham ini 8,06 kali. Adapun price to book value-nya (PBV) -3,22 kali.      Dari penutupan Selasa (23/8), harga saham ANTM turun 0,99% dari Rp 2.030. Saham ANTM dibuka di bawah harga penutupan sehari sebelumnya, tepatnya pada harga Rp 2.020 per saham.  Mencatatkan harga tertinggi Rp 2.040 dan harga terendah Rp 2.000, harga saham ANTM ditutup turun Rp 20 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 2.000 per saham. Di lain sisi, harga offer terendah di Rp 2.010 per saham.    Bila dihitung sejak 7 hari yang lalu (16 Agustus 2022), harga saham ANTM hari ini turun -3.37 % dibanding harga saat itu (Rp 2.080).  Adapun sejak setahun lalu (24 Agustus 2021) harga saham ANTM turun -11.45% dari harga saat itu (Rp 2.270).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham ANTM mencapai Rp 110,10 miliar, sedangkan volume saham yang ditransaksikan mencapai 546.179 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 244, maka price to earning ratio (PER) saham ini 8,32 kali. Adapun price to book value-nya (PBV) 2,19 kali.  Cek Berita dan Artikel yang lain di ","Beda Arah, Cek Harga Saham BUMI dan ANTM di Perdagangan Bursa Rabu (24/8)","antm"," Rabu, 24 Agustus 2022 / 15:33 WIB "
"","Mencatatkan harga tertinggi Rp 2.070 dan harga terendah Rp 1.945, harga saham ANTM ditutup turun Rp 45 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 1.955 per saham. Di lain sisi, harga offer terendah di Rp 1.960 per saham.  Kalau dihitung sejak 7 hari yang lalu (22 Juli 2022), harga saham ANTM hari ini sudah naik 9.83 % dibanding harga saat itu (Rp 1.780).  Adapun sejak setahun lalu (29 Juli 2021) harga saham ANTM turun -24.52% dari harga saat itu (Rp 2.590).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham ANTM mencapai Rp 305,20 miliar, sedangkan volume saham yang ditransaksikan mencapai 1.531.762 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 244, maka price to earning ratio (PER) saham ini 8,20 kali. Adapun price to book value-nya (PBV) 2,16 kali.      Dari penutupan Kamis (28/7), harga saham BBRI sama dengan harga sebelumnya 0,00% dari Rp 4.360. Saham BBRI dibuka di atas harga penutupan sehari sebelumnya, tepatnya pada harga Rp 4.390 per saham.  Mencatatkan harga tertinggi Rp 4.430 dan harga terendah Rp 4.340, saham BBRI ditutup tak berubah Rp 0 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 4.350 per saham. Di lain sisi, harga offer terendah di Rp 4.360 per saham.    Kalau dihitung sejak 7 hari yang lalu (22 Juli 2022), harga saham BBRI hari ini sudah naik 2.11 % dibanding harga saat itu (Rp 4.270).  Adapun sejak setahun lalu (29 Juli 2021) harga saham BBRI sudah naik 15.65% dari harga saat itu (Rp 3.770).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham BBRI mencapai Rp 1.001,90 miliar, sedangkan volume saham yang ditransaksikan mencapai 2.286.694 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 327, maka price to earning ratio (PER) saham ini 13,33 kali. Adapun price to book value-nya (PBV) 2,34 kali.  Cek Berita dan Artikel yang lain di ","Harga Saham BBRI Stagnan, ANTM Melemah di Perdagangan Bursa Jumat (29/7)","antm"," Jumat, 29 Juli 2022 / 15:28 WIB "
"","Mencatatkan harga tertinggi Rp 220 dan harga terendah Rp 192, saham BUMI ditutup turun Rp 8 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 196 per saham. Di lain sisi, harga offer terendah di Rp 197 per saham.  Kalau dihitung sejak 7 hari yang lalu (7 September 2022), harga saham BUMI hari ini turun 5,77% dibanding harga saat itu (Rp 208).  Adapun sejak setahun lalu (14 September 2021) harga saham BUMI sudah naik 262,96% dari harga saat itu (Rp 54).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham BUMI mencapai Rp 1.108,80 miliar, sedangkan volume saham yang ditransaksikan mencapai 55.979.927 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 35, maka price to earning ratio (PER) saham ini 5,83 kali. Adapun price to book value-nya (PBV) -6,00 kali.      Dari penutupan Selasa (13/9), harga saham ANTM naik 2,42% dari Rp 2.070. Saham ANTM dibuka di bawah harga penutupan sehari sebelumnya, tepatnya pada harga Rp 2.010 per saham.  Mencatatkan harga tertinggi Rp 2.120 dan harga terendah Rp 1.990, saham ANTM ditutup naik Rp 50 per saham dalam sehari.  Pada saat penutupan, harga bid Rp 2.120 per saham. Di lain sisi, harga offer terendah di Rp 2.130 per saham.    Jika dihitung sejak 7 hari yang lalu (7 September 2022), harga saham ANTM hari ini sudah naik 8,72% dibanding harga saat itu (Rp 1.950).  Adapun sejak setahun lalu (14 September 2021) harga saham ANTM turun 14,17% dari harga saat itu (Rp 2.470).  Bursa Efek Indonesia (BEI) mencatat total nilai transaksi saham ANTM mencapai Rp 476,00 miliar, sedangkan volume saham yang ditransaksikan mencapai 2.305.929 lot.  Dengan earning per share (EPS) alias laba bersih per saham Rp 127, maka price to earning ratio (PER) saham ini 16,30 kali. Adapun price to book value-nya (PBV) 2,32 kali.  Cek Berita dan Artikel yang lain di ","Beda Arah, Cek Harga Saham BUMI & ANTM di Perdagangan Bursa Rabu (14/9)","antm"," Rabu, 14 September 2022 / 15:33 WIB "
"","“Digitalisasi akan meningkatkan kualitas pelayanan terhadap nasabah sekaligus memperluas pangsa pasar. Kami meyakini kehadiran aplikasi digital perbankan syariah akan berdampak positif dalam mendorong kontribusi ekonomi syariah terhadap perekonomian nasional,” ungkap  Direktur Utama Bank Jago Kharim Siregar secara virtual pada Selasa (22/2).  Ia menyatakan aplikasi Jago Syariah dirancang sebagai aplikasi personal yang membuat pengelolaan keuangan menjadi lebih simpel, kolaboratif, dan inovatif.    Sama canggihnya dengan aplikasi Jago konvensional, nasabah dapat merasakan inovasi dan fitur unggulan, seperti Kantong (Pockets) dengan akad wadiah dan kemampuan terintegrasi dengan ekosistem digital lain, termasuk Gojek, GoPay, dan Bibit.  “Dengan hadirnya Jago Syariah, kami bertekad mewujudkan aspirasi besar kami dalam meningkatkan kesempatan tumbuh segmen syariah melalui solusi keuangan digital yang fokus pada kehidupan sehari-hari atau  Kami bersyukur, hari ini kami berhasil mewujudkannya,”  kata Kharim.  Bank Jago percaya bahwa aplikasi Jago Syariah tidak hanya memberikan pengalaman baru bagi nasabah yang sudah ada tetapi dapat menjadi terobosan baru dalam mengakselerasi inklusi dan literasi keuangan ( ) di segmen syariah yang belum terlayani dengan layak ( ).  “Dengan desain dan fungsi aplikasi Jago Syariah yang berorientasi pada kehidupan, termasuk fitur-fitur kolaboratif yang unik, nasabah akan selangkah lebih jago dalam menggapai mimpi. Maka mari melangkah penuh berkah bersama Jago Syariah,” tutur Kharim.         Terlebih Indonesia merupakan rumah dari lebih 230 juta umat Muslim. Namun produk dan layanan perbankan syariah masih belum menjadi pilihan utama dibandingkan produk dan layanan perbankan konvensional.  Berdasarkan Statistik Perbankan Indonesia yang dirilis Otoritas Jasa Keuangan (OJK) per November 2021 lalu, aset perbankan syariah (bank syariah dan UUS) tercatat sebesar Rp 646 triliun atau hanya 6,5% dari total aset perbankan umum sebesar Rp 9.913,7 triliun.  Sementara dana pihak ketiga (DPK) dari perbankan syarian di Indonesia mencapai Rp 512,8 triliun atau hanya sebesar 7% dari total DPK perbankan umum yang mencapai Rp 7.323,4 triliun.  Cek Berita dan Artikel yang lain di ","Garap Segmen Syariah, Bank Jago (ARTO) Rilis Aplikasi Jago Syariah","arto"," Selasa, 22 Februari 2022 / 10:58 WIB "
"","""Jangan sampai saham mereka hanya dibakar-bakar saja, ikut digoreng  dengan masalah isu dengan rumor di belakangnya ada investor ini investor itu padahal faktanya tidak. Itu sudah sering terjadi dan kita tegur,"" ujar Slamet, waktu itu.   Belum lagi dari sisi inovasi, bank-bank digital ini tidak ada yang baru. Dan hampir semuanya sama. Dan kini seiring kerontokan saham teknologi ,  kinerja emiten bank digital terus ambruk sepekan terakhir.   Bank Jago (ARTO) paling parah.  Secara y mencatatkan penurunan terdalam yakni 52,5%.  Dalam sehari turun 6,75% pada penutupan perdagangan Selasa (17/5). Dalam sepekan ARTO sudah melemah 29,95%.  Berikutnya Bank Neo Commerce (BBYB) turun 51,5% ytd. Tapi dalam sehari pada Selasa (17/5) cuma turun 2,41%.  Infovesta Utama, Edbert Suryajaya menilai, pergerakan saham emiten bank digital masih akan relatif berat. ""Biasanya saham-saham yang fundamental baik dan sudah mencetak laba yang biasanya akan memiliki performa yang lebih baik atau value investing,"" ujar Edbert.    Ekonom yang juga pakar keuangan dan pasar modal dari Universitas Indonesia Budi Frensidy adalah sosok yang konsisten memberikan peringatan soal harga saham performa bank digital sejak awal. Ia melihat harganya emiten bank digital masih  kemahalan. Ia menyebut, harga saham apapun termasuk emiten bank digital akan konvergen ke nilainya dalam jangka panjang.   ""Lebih baik ke emiten dengan fundamental yang bagus dan lebih teruji. Terutama yang memiliki  tinggi dan  (PBV) serta  (PER) rendah,"" papar Budi.          Cek Berita dan Artikel yang lain di ","Sempat Diingatkan OJK, Saham Bank Digital Runtuh, Bank Jago Ambruk Paling Dalam","arto"," Rabu, 18 Mei 2022 / 13:30 WIB "
"","Kenaikan IHSG terutama hari ini tak lepas dari kinerja saham-saham berbasis teknologi dan digital, seperti saham PT Bank Jago Tbk ( ), PT Elang Mahkota Teknologi Tbk ( ) dan saham PT GoTo Gojek Tokopedia Tbk ( ). Secara umum indeks saham sektor teknologi menguat signifikan hingga 1,80%. Sektor keuangan naik 0,90%. Sementara sektor-sektor lainnya mengalami koreksi. Contohnya sektor energi turun 1,63%, infrastruktur jeblok 1,30% dan sektor properti turun 0,63%.   Di sektor teknologi, performa saham GOTO yang mengalami  tiga hari berturut-turut menjadi katalis utama penguatan bagi IHSG. Hal ini tidak lepas dari posisi GoTo sebagai emiten nomor lima dengan kapitalisasi pasar terbesar di Bursa Efek Indonesia (BEI). Sejak Selasa-Kamis, 17 Mei-19 Mei 2022, saham GoTo sudah naik sekitar 44,3% dari level Rp 194 menjadi Rp 280 per saham. Dengan posisi harga tersebut kapitalisasi pasar GoTo melesat dari sebelumnya Rp 220 triliun menjadi sekitar Rp 319 triliun.    Laju saham GoTo ini sejalan dengan kinerja bisnisnya yang positif selama bulan Ramadan lalu. Integrasi bisnis Gojek, Tokopedia dan Gopay semakin menemukan momentumnya disaat ekonomi domestik juga tumbuh positif diatas 5,1% pada kuartal I 2022.   Integrasi transaksi yang terjadi di GoTo misalnya pemesanan makanan melalui layanan GoFood dan membayar melalui GoPay, atau berbelanja di Tokopedia dengan membayar menggunakan GoPay dan mengirimkan menggunakan layanan GoSend.  Selama Ramadan 2022, jumlah pesanan di Tokopedia yang dikirimkan menggunakan layanan GoSend instant maupun sameday tumbuh 85 persen dibandingkan dengan bulan Ramadan 2021. Sementara jumlah pesanan parsel (hampers) di Tokopedia yang dikirimkan dengan layanan logistik instan maupun GoSend sameday sepanjang bulan Ramadan 2022 naik 60 persen dibandingkan Ramadan 2021.  ""Sebagai emiten dengan kapitalisasi pasar besar, kenaikan saham GoTo akan berdampak langsung terhadap indeks saham di BEI. Penguatan saham-saham teknologi dan digital lainnya juga berpengaruh terhadap penguatan indeks,"" ujar Reza Fahmi Riawan,   PT Henan Putihrai Asset Management di Jakarta, Kamis (19/5).   Selain GoTo, saham ARTO hari ini juga mengalami  . Saham bank digital yang menjadi bagian dari ekosistem GoTo ini mengalami penguatan hingga 19,79. Seperti halnya GoTo, Bank Jago juga memiliki dampak terhadap indeks mengingat kapitalisasinya lebih dari Rp 1174 triliun.    Lompatan saham GoTo, ARTO dan EMTK terjadi di tengah penurunan sejumlah saham komoditas batubara, seperti saham HRUM, ADMR, ADRO, BYAN, ITMG, dan BSSR. Reza memperkirakan koreksi terhadap saham-saham batubara ini akan berlangsung sesaat mengingat kebutuhan energi dunia akan semakin tinggi seiring pulihnya ekonomi global.   Apalagi China sebagai konsumen utama batubara dunia, terutama dari Indonesia, dikabarkan akan mulai melonggarkan kebijakan lockdown akibat Covid-19 di sejumlah kota. Sehingga kebutuhan energi di negeri panda itu akan kembali meningkat.  ""Potensi penguatan saham-saham di bursa masih sangat terbuka mengingat fundamental bisnis emiten yang terus membaik. Situasi ini tentu sangat positif bagi investor yang akan masuk ke pasar saham mengingat koreksi yang terjadi sebenarnya sudah cukup besar,"" kata Reza. ","Saham GOTO Rebound Tiga Hari Berturut-Turut, IHSG Sukses Berada di Zona Hijau","arto","Kamis, 19 Mei 2022 | 19:28 WIB "
